Libellé du pays,Valeur moyen des exportations sur 10ans,alpha-3
SAINT-VINCENT-ET-LES GRENADINES,223508.08181818182,VCT
REPUBLIQUE BOLIVARIENNE DU VENEZUELA,130563452.34154548,VEN
VIET NAM,52419975.52354546,VNM
VANUATU,54239.49454545454,VUT
WALLIS ET FUTUNA,479241.54545454547,WLF
KOSOVO,3289093.845363636,KOS
YEMEN,89740716.16127272,YEM
MAYOTTE,18428142.405454546,MYT
YOUGOUSLAVIE,2861717.342727273,YUG
AFRIQUE DU SUD,353151480.7982727,ZAF
ZAMBIE,2774763.1075454545,ZMB
ZIMBABWE,5144280.127272727,ZWE
